,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
2699,0.769,0.781,0,-5.472,0.0797,0.119,0.000371,0.0506,0.826,95.02,269973,18125482,97170,3215,77038414
2700,0.635,0.614,7,-7.165,0.197,0.0179,0.000201,0.415,0.736,174.213,286400,5861535,70837,1573,29107190
2701,0.784,0.298,5,-9.56,0.0542,0.125,3.19E-05,0.0678,0.846,87.172,279240,7263986,119218,529,45961473
2702,0.667,0.736,8,-8.168,0.191,0.135,0,0.203,0.766,93.193,282040,25716226,142739,6549,61676939
2703,0.923,0.795,11,-3.61,0.117,0.0394,0.000565,0.101,0.588,123.021,242133,91685616,475683,11593,58836739
2704,0.682,0.739,10,-8.504,0.0763,0.129,0,0.252,0.685,92.894,349560,8357745,82518,2503,30172730
2705,0.241,0.367,7,-7.95,0.0311,0.844,0.00279,0.0873,0.302,135.267,250984,57057668,601662,17411,114681266
2706,0.544,0.417,8,-4.387,0.0247,0.586,0,0.085,0.207,95.156,265363,454581312,3215310,91468,160120770
2707,0.533,0.456,2,-6.392,0.0265,0.703,0,0.18,0.289,136.117,265585,48087771,267701,7601,102983829
2708,0.186,0.321,10,-8.513,0.0338,0.821,3.59E-06,0.115,0.0505,81.915,268933,187029035,1167184,31394,90813770
2709,0.521,0.502,5,-8.521,0.0287,0.886,0.02,0.188,0.378,95.028,241232,52976203,366012,8368,49163851
2710,0.237,0.476,7,-6.96,0.0326,0.876,0.00217,0.0962,0.391,105.54,245627,83994236,814917,26379,127477595
2711,0.615,0.602,10,-6.765,0.044,0.591,2.51E-06,0.102,0.521,102.068,235446,28347285,128144,3136,24528752
2712,0.344,0.404,0,-7.478,0.0358,0.829,0,0.27,0.441,80.778,186982,4865970,22126,398,29891438
2713,0.496,0.359,10,-8.834,0.0356,0.449,6.38E-05,0.149,0.13,125.168,584573,7057075,32635,1314,30776596
2714,0.404,0.518,2,-3.976,0.0293,0.826,0,0.337,0.36,136.305,264895,210647778,1053674,30740,
2715,0.744,0.583,1,-12.595,0.0427,0.152,8.54E-05,0.0248,0.851,108.794,260493,133679931,866353,24186,
2716,0.522,0.346,5,-15.462,0.0297,0.258,0,0.114,0.27,131.692,195133,5806309,71121,3739,203469758
2717,0.461,0.275,10,-12.331,0.0259,0.745,0.000219,0.126,0.124,93.126,268293,11171,100,11,
2718,0.698,0.774,0,-8.642,0.048,0.12,2.26E-06,0.394,0.731,133.197,270720,16844749,93322,4034,131425933
2719,0.636,0.405,8,-11.113,0.0287,0.355,0,0.0804,0.257,128.068,241067,9220534,78763,1836,207662812
2720,0.487,0.246,9,-14.104,0.0376,0.414,0,0.0983,0.0562,61.084,251107,63901307,526077,19234,212373009
2721,0.366,0.238,1,-13.853,0.038,0.646,1.00E-05,0.0876,0.131,68.377,200507,4200340,18122,,41831518
2722,0.328,0.681,4,-6.388,0.0426,0.386,0,0.73,0.269,134.032,350867,29891003,449877,16481,48806476
2723,0.738,0.835,8,-8.056,0.033,0.0509,0,0.0313,0.867,111.609,289800,1132580,9329,630,37533577
2724,0.686,0.536,0,-9.908,0.0274,0.161,4.97E-05,0.063,0.558,91.503,363333,2039685,18488,1005,36855434
2725,0.513,0.831,2,-9.004,0.0383,0.55,0,0.336,0.963,148.837,182067,67039920,474630,21756,516834894
2726,0.276,0.572,1,-7.818,0.0377,0.641,0,0.2,0.285,77.986,237467,764832,5730,472,169769959
2727,0.322,0.473,7,-7.644,0.0466,0.524,0.0457,0.222,0.193,128.987,283933,20341385,148643,3828,47589327
2728,0.521,0.45,2,-7.339,0.0913,0.773,0.000348,0.115,0.58,81.376,193693,4071943,60880,935,21011624
2729,0.539,0.65,7,-6.117,0.0292,0.501,0,0.159,0.244,139.817,246387,8455,169,12,13051931
2730,0.421,0.238,2,-17.307,0.0427,0.771,4.21E-06,0.0719,0.457,148.001,273427,6697150,36558,1512,16334579
2731,0.429,0.396,11,-13.761,0.0462,0.8,0.00114,0.189,0.426,78.99,230213,2979737,16897,681,11764934
2732,0.71,0.428,6,-10.492,0.0825,0.729,8.55E-06,0.117,0.654,105.544,158253,4367072,18606,327,13013449
2733,0.56,0.599,2,-9.313,0.0291,0.548,0,0.214,0.578,104.038,216600,,,,10055408
2734,0.38,0.413,10,-12.022,0.0325,0.826,0.000341,0.127,0.505,97.673,249733,1963103,28351,970,
2735,0.553,0.465,9,-9.664,0.0301,0.84,0.97,0.102,0.652,79.223,141040,679228,24703,1686,82738218
2736,0.432,0.13,9,-13.076,0.0282,0.94,0.965,0.106,0.0741,96.41,118160,2275907,72788,398,52898852
2737,0.475,0.531,8,-6.552,0.0317,0.752,0.0634,0.53,0.223,119.643,95227,75783,5392,119,34618063
2738,0.865,0.326,2,-12.607,0.0644,0.897,0.854,0.109,0.144,110.328,223200,151845,4965,289,23532871
